image_name,weather,scene,timeofday,gt_count,pred_count,tp,fp,fn,precision,recall,f1
b1d968b9-563405f4.jpg,overcast,city street,daytime,18,16,13,3,5,0.8125,0.7222222222222222,0.7647058823529411
b1d968b9-ce42734f.jpg,overcast,highway,dawn/dusk,29,14,13,1,16,0.9285714285714286,0.4482758620689655,0.6046511627906977
b1d971b4-ac67ca0d.jpg,overcast,residential,daytime,17,12,7,5,10,0.5833333333333334,0.4117647058823529,0.4827586206896552
b1d9e136-6c94ea3f.jpg,undefined,city street,daytime,22,13,11,2,11,0.8461538461538461,0.5,0.6285714285714286
b1d9e136-9ab25cb3.jpg,undefined,city street,daytime,13,9,7,2,6,0.7777777777777778,0.5384615384615384,0.6363636363636364
b1da9c53-0f3d4c5d.jpg,snowy,residential,daytime,6,6,5,1,1,0.8333333333333334,0.8333333333333334,0.8333333333333334
b1dac7f7-6b2e0382.jpg,clear,city street,daytime,18,11,9,2,9,0.8181818181818182,0.5,0.6206896551724137
b1db7e22-cfa74dc3.jpg,clear,city street,night,10,4,3,1,7,0.75,0.3,0.4285714285714285
b1dce572-c6a8cb5e.jpg,clear,residential,daytime,24,12,8,4,16,0.6666666666666666,0.3333333333333333,0.4444444444444444
b1dd58c1-8b546ba7.jpg,partly cloudy,city street,dawn/dusk,16,13,7,6,9,0.5384615384615384,0.4375,0.4827586206896552
b1df722f-57d21f3f.jpg,clear,highway,daytime,12,8,6,2,6,0.75,0.5,0.6
b1df722f-5bcc3db7.jpg,clear,highway,daytime,24,1,0,1,24,0.0,0.0,0.0
b1e0c01d-dd9e6e2f.jpg,overcast,city street,daytime,14,6,6,0,8,1.0,0.42857142857142855,0.6
b1e1a7b8-0aec80e8.jpg,rainy,city street,dawn/dusk,13,8,8,0,5,1.0,0.6153846153846154,0.761904761904762
b1e1a7b8-65ec7612.jpg,rainy,highway,daytime,15,10,9,1,6,0.9,0.6,0.7200000000000001
b1e1a7b8-a7426a97.jpg,rainy,highway,daytime,12,6,5,1,7,0.8333333333333334,0.4166666666666667,0.5555555555555556
b1e1a7b8-b397c445.jpg,rainy,city street,daytime,22,4,3,1,19,0.75,0.13636363636363635,0.23076923076923075
b1e2346e-c5f98707.jpg,clear,highway,night,13,0,0,0,13,0.0,0.0,0.0
b1e3e9f5-92377424.jpg,clear,residential,daytime,16,14,12,2,4,0.8571428571428571,0.75,0.7999999999999999
b1e62c91-eca210a9.jpg,clear,residential,night,20,11,8,3,12,0.7272727272727273,0.4,0.5161290322580645
b1e6efc0-2552cc5d.jpg,snowy,highway,daytime,6,3,2,1,4,0.6666666666666666,0.3333333333333333,0.4444444444444444
b1e88fd2-c1e4fd2b.jpg,clear,highway,night,6,0,0,0,6,0.0,0.0,0.0
b1e8ad72-c3c79240.jpg,clear,highway,daytime,15,5,5,0,10,1.0,0.3333333333333333,0.5
b1e9ee0e-67e26f2e.jpg,rainy,parking lot,daytime,34,18,15,3,19,0.8333333333333334,0.4411764705882353,0.576923076923077
b1ea0ae4-4f770228.jpg,partly cloudy,highway,daytime,12,3,3,0,9,1.0,0.25,0.4
b1eb9133-5cc75c18.jpg,overcast,highway,dawn/dusk,11,1,0,1,11,0.0,0.0,0.0
b1ebfc3c-740ec84a.jpg,clear,city street,night,21,9,8,1,13,0.8888888888888888,0.38095238095238093,0.5333333333333333
b1ebfc3c-cc9c2bb8.jpg,clear,city street,night,26,12,10,2,16,0.8333333333333334,0.38461538461538464,0.5263157894736842
b1ee702d-0ae1fc10.jpg,clear,city street,night,11,3,3,0,8,1.0,0.2727272727272727,0.42857142857142855
b1ee702d-4a193906.jpg,clear,city street,night,17,6,5,1,12,0.8333333333333334,0.29411764705882354,0.4347826086956522
b1ee702d-525fcebf.jpg,clear,city street,night,7,5,4,1,3,0.8,0.5714285714285714,0.6666666666666666
b1f022d3-3774de8b.jpg,undefined,city street,daytime,33,10,10,0,23,1.0,0.30303030303030304,0.4651162790697675
b1f022d3-45162c67.jpg,undefined,city street,daytime,14,4,4,0,10,1.0,0.2857142857142857,0.4444444444444445
b1f0efd9-37a14dda.jpg,undefined,residential,dawn/dusk,6,3,2,1,4,0.6666666666666666,0.3333333333333333,0.4444444444444444
b1f0efd9-e900c6e5.jpg,clear,city street,daytime,14,3,3,0,11,1.0,0.21428571428571427,0.35294117647058826
b1f20aa0-3401c3bf.jpg,clear,city street,night,17,9,5,4,12,0.5555555555555556,0.29411764705882354,0.3846153846153846
b1f20aa0-50213047.jpg,clear,city street,night,17,5,4,1,13,0.8,0.23529411764705882,0.3636363636363636
b1f20aa0-6ef1db42.jpg,clear,city street,night,16,7,4,3,12,0.5714285714285714,0.25,0.34782608695652173
b1f25ff6-1ddb7e43.jpg,partly cloudy,residential,daytime,18,4,3,1,15,0.75,0.16666666666666666,0.27272727272727276
b1f4491b-07b32e8c.jpg,undefined,city street,daytime,11,5,3,2,8,0.6,0.2727272727272727,0.37499999999999994
b1f4491b-09593e90.jpg,undefined,city street,undefined,4,4,3,1,1,0.75,0.75,0.75
b1f4491b-16256d7c.jpg,undefined,city street,daytime,22,13,10,3,12,0.7692307692307693,0.45454545454545453,0.5714285714285714
b1f4491b-33824f31.jpg,partly cloudy,city street,daytime,55,22,19,3,36,0.8636363636363636,0.34545454545454546,0.4935064935064935
b1f4491b-846d8cb2.jpg,partly cloudy,highway,daytime,7,3,3,0,4,1.0,0.42857142857142855,0.6
b1f4491b-97465266.jpg,clear,city street,daytime,23,15,12,3,11,0.8,0.5217391304347826,0.6315789473684211
b1f4491b-9958bd99.jpg,undefined,city street,daytime,23,17,13,4,10,0.7647058823529411,0.5652173913043478,0.65
b1f4491b-bf7d513f.jpg,undefined,highway,daytime,8,2,2,0,6,1.0,0.25,0.4
b1f4491b-cf446195.jpg,overcast,highway,daytime,37,17,13,4,24,0.7647058823529411,0.35135135135135137,0.48148148148148157
b1f4491b-d8d1459c.jpg,undefined,city street,daytime,7,7,4,3,3,0.5714285714285714,0.5714285714285714,0.5714285714285714
b1f4491b-dd8dfed5.jpg,overcast,highway,daytime,29,10,8,2,21,0.8,0.27586206896551724,0.4102564102564103
b1f62c41-ed0c6521.jpg,clear,residential,daytime,20,7,5,2,15,0.7142857142857143,0.25,0.37037037037037035
b1f6c103-5ce1f3c6.jpg,clear,highway,night,5,1,0,1,5,0.0,0.0,0.0
b1f6c103-8b75ea3e.jpg,clear,city street,night,26,5,4,1,22,0.8,0.15384615384615385,0.25806451612903225
b1f6c103-b00e8aad.jpg,clear,city street,night,23,8,4,4,19,0.5,0.17391304347826086,0.25806451612903225
b1f85377-44885085.jpg,overcast,highway,daytime,9,6,4,2,5,0.6666666666666666,0.4444444444444444,0.5333333333333333
b1fbaab8-68db7df7.jpg,clear,highway,dawn/dusk,7,3,3,0,4,1.0,0.42857142857142855,0.6
b1fbf878-b31a8293.jpg,clear,city street,night,23,12,10,2,13,0.8333333333333334,0.43478260869565216,0.5714285714285714
b1fc95c9-644e3c3f.jpg,undefined,city street,daytime,16,8,5,3,11,0.625,0.3125,0.4166666666666667
b1fc95c9-cb2882c7.jpg,overcast,city street,daytime,13,6,4,2,9,0.6666666666666666,0.3076923076923077,0.42105263157894735
b1ff4656-0435391e.jpg,overcast,city street,daytime,37,16,12,4,25,0.75,0.32432432432432434,0.4528301886792453
b1ff4656-94ee8536.jpg,clear,highway,daytime,6,4,3,1,3,0.75,0.5,0.6
b1ff4656-ebcfeb35.jpg,overcast,city street,daytime,23,6,2,4,21,0.3333333333333333,0.08695652173913043,0.13793103448275862
b200b84e-4a792877.jpg,clear,city street,night,18,1,1,0,17,1.0,0.05555555555555555,0.10526315789473684
b200e97a-bf074435.jpg,overcast,residential,daytime,9,10,8,2,1,0.8,0.8888888888888888,0.8421052631578948
b20234fd-822029be.jpg,clear,city street,night,14,7,5,2,9,0.7142857142857143,0.35714285714285715,0.4761904761904762
b202cae2-672e61c5.jpg,clear,highway,daytime,25,12,10,2,15,0.8333333333333334,0.4,0.5405405405405406
b202cae2-f46c74a6.jpg,clear,city street,daytime,12,10,9,1,3,0.9,0.75,0.8181818181818182
b2036451-aa924fd1.jpg,rainy,residential,dawn/dusk,10,6,6,0,4,1.0,0.6,0.7499999999999999
b2046bcf-8bc6a044.jpg,snowy,city street,daytime,36,19,15,4,21,0.7894736842105263,0.4166666666666667,0.5454545454545454
