weather,images,tp,fp,fn,precision,recall,f1
clear,5346,28485,8090,65659,0.7788106630211893,0.302568405846363,0.43582034746287845
foggy,13,67,19,157,0.7790697674418605,0.29910714285714285,0.432258064516129
overcast,1239,10183,2271,15346,0.8176489481291151,0.3988797054330369,0.5361872416607429
partly cloudy,738,5755,1328,9076,0.8125088239446562,0.38803856786460794,0.525235009582915
rainy,738,4334,1200,8860,0.7831586555836646,0.3284826436258906,0.46283639470311827
snowy,769,5038,1414,9231,0.7808431494110354,0.35307309552176047,0.48626996766565317
undefined,1157,9217,2236,14118,0.8047673098751419,0.39498607242339834,0.5298953662182362
