timeofday,images,tp,fp,fn,precision,recall,f1
dawn/dusk,778,5651,1364,9315,0.805559515324305,0.3775892021916344,0.5141713297848142
daytime,5258,41705,9701,63683,0.8112866202388826,0.3957281663946559,0.5319718866793373
night,3929,15624,5453,49327,0.7412819661242113,0.2405505688903943,0.3632305760915051
undefined,35,99,40,122,0.7122302158273381,0.4479638009049774,0.55
