scene,images,tp,fp,fn,precision,recall,f1
city street,6112,42519,11634,84364,0.7851642568278766,0.33510399344277797,0.469729777502817
gas stations,7,27,7,59,0.7941176470588235,0.313953488372093,0.44999999999999996
highway,2499,10603,2700,25797,0.797038262046155,0.2912912087912088,0.42665432670060155
parking lot,49,380,101,369,0.7900207900207901,0.507343124165554,0.6178861788617885
residential,1253,9321,2036,11388,0.8207273047459717,0.4500941619585687,0.581363437909312
tunnel,27,87,33,83,0.725,0.5117647058823529,0.5999999999999999
undefined,53,142,47,387,0.7513227513227513,0.2684310018903592,0.3955431754874652
